squad,player,position,injury,until,market_value_eur,tm_player_id,tm_photo,last_checked,active
Monaco,Mohammed Salisu,Centre-Back,Cruciate ligament tear,,10000000,563963,https://img.a.transfermarkt.technology/portrait/medium/563963-1668428508.jpg?lm=1,2026-07-09,true
Monaco,Stanis Idumbo,Attacking Midfield,Shoulder injury,,4000000,743387,https://img.a.transfermarkt.technology/portrait/medium/743387-1652692759.jpg?lm=1,2026-07-09,true
Monaco,Takumi Minamino,Left Winger,Torn knee ligaments,01/08/2026,10000000,165793,https://img.a.transfermarkt.technology/portrait/medium/165793-1737490576.jpg?lm=1,2026-07-09,true
Nice,Mohamed Abdelmonem,Centre-Back,Ankle injury,,2500000,566025,https://img.a.transfermarkt.technology/portrait/medium/566025-1739971401.jpg?lm=1,2026-07-09,true
PSG,Nuno Mendes,Left-Back,Muscle injury,,80000000,616341,https://img.a.transfermarkt.technology/portrait/medium/616341-1749417164.jpg?lm=1,2026-07-09,true
Paris FC,Jean-Philippe Krasso,Centre-Forward,Knee injury,,3500000,358515,https://img.a.transfermarkt.technology/portrait/medium/358515-1694785707.jpg?lm=1,2026-07-09,true
Paris FC,Omar Sissoko,Centre-Forward,Ankle injury,,1000000,1132426,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,2026-07-09,true
Strasbourg,Andrew Omobamidele,Centre-Back,unknown injury,,8000000,621993,https://img.a.transfermarkt.technology/portrait/medium/621993-1750770741.png?lm=1,2026-07-09,true
Strasbourg,Joaquín Panichelli,Centre-Forward,Cruciate ligament tear,31/12/2026,35000000,1064871,https://img.a.transfermarkt.technology/portrait/medium/1064871-1727113388.jpg?lm=1,2026-07-09,true
Toulouse,Rafik Messali,Right-Back,Injury to the ankle,,1500000,883865,https://img.a.transfermarkt.technology/portrait/medium/883865-1741897311.jpg?lm=1,2026-07-09,true
Toulouse,Ylies Aradj,Left-Back,Calf problems,,250000,923758,https://img.a.transfermarkt.technology/portrait/medium/923758-1708555761.jpg?lm=1,2026-07-09,true
